airport,lat,lon
KCRQ,33.12829971,-117.2799988
KCRS,32.02809906,-96.40059662
KCRT,33.17829895,-91.88020325
KCRW,38.37310028,-81.59320068
KCRX,34.91500092,-88.60350037
KCRZ,40.99409866,-94.75499725
KCSB,40.30659866,-100.1620026
KCSG,32.5163002,-84.93890381
KCSM,35.33980179,-99.20050049
KCSQ,41.02140045,-94.36329651
KCSV,35.95130157,-85.08499908
KCTB,48.60839844,-112.3759995
KCTJ,33.63100052,-85.15200043
KCTK,40.56909943,-90.07479858
KCTY,29.63549995,-83.10479736
KCTZ,34.9756012,-78.36460114
KCUB,33.97050095,-80.99520111
KCUH,35.94990158,-96.77310181
KCUL,38.08950043,-88.12310028
KCUT,43.73329926,-103.6179962
KCVB,29.34189987,-98.85089874
KCVG,39.04880142,-84.6678009
KCVK,36.26490021,-91.56259918
KCVN,34.42509842,-103.0790024
KCVO,44.49720001,-123.2900009
KCVS,34.38280106,-103.3219986
KCVX,45.30479813,-85.27480316
KCWA,44.77759933,-89.66680145
KCWC,33.85779953,-98.49040222
KCWF,30.2105999,-93.14320374
KCWI,41.83110046,-90.32910156
KCWN,44.02000046,-71.11000061
KCWS,35.080799,-92.425003
KCWV,32.19509888,-81.86959839
KCXE,36.78829956,-78.50160217
KCXL,32.66949844,-115.5130005
KCXO,30.351801,-95.414497
KCXP,39.19219971,-119.7340012
KCXU,31.21290016,-84.23680115
KCXW,35.0198889,-92.5551111
KCXY,40.21709824,-76.85150146
KCYO,39.51599884,-82.98210144
KCYS,41.15570068,-104.8119965
KCYW,39.3871,-97.157204
KCZD,40.86909866,-100.0039978
KCZG,42.078499,-76.096296
KCZL,34.45539856,-84.93920135
KCZT,28.52219963,-99.82360077
KD00,47.26050186,-96.40029907
KD02,43.29249954,-92.79599762
KD05,47.65589905,-101.4369965
KD07,45.03609848,-102.0199966
KD09,48.83039856,-100.4169998
KD11,43.72000122,-85.00279999
KD14,47.55189896,-96.29190063
KD17,38.75749969,-108.1480026
KD23,42.56669998,-78.42610168
KD25,46.12200165,-89.88230133
KD31,48.28499985,-99.40350342
KD37,48.19110107,-96.71109772
KD39,45.70660019,-94.93340302
KD42,44.23109818,-94.99890137
KD50,48.92850113,-103.2969971
KD54,46.9007988,-96.91870117
KD55,48.75299835,-98.39330292
KD56,47.47499847,-97.33370209
KD57,46.81280136,-101.8600006
KD60,48.38050079,-102.8980026
KD64,48.91339874,-101.0329971
KD68,34.131101,-109.310255
KD73,33.782398,-83.692903
KD74,38.84840012,-75.61239624
KD83,39.01269913,-123.3830032
KD86,36.44860077,-119.3190002
KD95,43.0666008,-83.27230072
KD98,42.79610062,-82.97499847
KDAA,38.71500015,-77.18099976
KDAB,29.179899,-81.058098
KDAF,44.03340149,-90.08509827
KDAG,34.85369873,-116.7870026
KDAL,32.847099,-96.851799
KDAN,36.57289886,-79.33609772
KDAW,43.28409958,-70.9292984
KDAY,39.90240097,-84.2193985
KDBN,32.56439972,-82.98529816
KDBQ,42.40200043,-90.70950317
KDCA,38.8521,-77.037697
KDCM,34.78929901,-81.19580078
KDCU,34.65269852,-86.94539642
KDCY,38.70040131,-87.12969971
KDDC,37.76340103,-99.96559906
KDDH,42.8913002,-73.24639893
KDEC,39.83459854,-88.86569977
KDED,29.06699944,-81.28379822
KDEH,43.27550125,-91.73940277
KDEN,39.86169815,-104.6729965
KDEQ,34.04700089,-94.3993988
KDET,42.40919876,-83.00990295
KDEW,47.96659851,-117.427002
KDFI,41.33750153,-84.42880249
KDFW,32.896801,-97.038002
KDGL,31.34259987,-109.5059967
KDGW,42.79719925,-105.3860016
KDHN,31.32130051,-85.44960022
KDHT,36.02259827,-102.5469971
KDIJ,43.742401,-111.098
KDIK,46.79740143,-102.802002
KDKB,41.93370056,-88.70570374
KDKK,42.49330139,-79.27200317
KDKR,31.306999,-95.403801
KDKX,35.96390152,-83.87390137
KDLC,34.44910049,-79.36859894
KDLF,29.359501,-100.778002
KDLH,46.84209824,-92.19360352
KDLL,43.52270126,-89.77020264
KDLN,45.25540161,-112.5530014
KDLO,35.74560165,-119.2369995
KDLS,45.61849976,-121.1669998
KDLZ,40.27970123,-83.1147995
KDMA,32.16650009,-110.8830032
KDMN,32.26229858,-107.7210007
